name,age,IP,W,L,ERA,FIP,k9,bb9,hr9
Slade Cecconi,26,132,7,7,4.29545454545455,4.64271214759317,7.43181818181818,2.18181818181818,1.63636363636364
Jose Berrios,31,166,9,5,4.17469879518072,4.64718458278849,7.48192771084337,3.03614457831325,1.40963855421687
Jeffrey Springs,32,171,11,11,4.10526315789474,4.64975627305834,7.26315789473684,2.84210526315789,1.47368421052632
Jameson Taillon,33,129.666666666667,11,7,3.67866323907455,4.65441659567293,6.80205655526992,1.87403598971722,1.66580976863753
Andre Pallante,26,162.666666666667,6,15,5.31147540983607,4.68431671788626,6.14139344262295,3.43032786885246,1.16188524590164
Jose Quintana,36,131.666666666667,11,7,3.96455696202532,4.81361740267564,6.08354430379747,3.41772151898734,1.23037974683544
Randy Vásquez,26,133.666666666667,6,7,3.83790523690773,4.84835334762339,5.25187032418953,3.50124688279302,1.07730673316708
Shota Imanaga,31,144.666666666667,9,8,3.73271889400922,4.86324698909575,7.27880184331797,1.61751152073733,1.92857142857143
Zack Littell,29,186.666666666667,10,8,3.80892857142857,4.87620781858884,6.26785714285714,1.54285714285714,1.73571428571429
Dustin May,27,132.333333333333,7,11,4.9647355163728,4.88072832956401,8.36523929471033,3.80856423173804,1.42821158690176
Bailey Ober,29,146.333333333333,6,9,5.10478359908884,4.89823433990351,7.38041002277904,1.90660592255125,1.84510250569476
Sean Burke,25,134.333333333333,4,11,4.22084367245658,4.92173688629532,8.9106699751861,4.22084367245658,1.5409429280397
Bailey Falter,28,125.333333333333,7,7,4.45212765957447,4.93832787937911,5.81648936170213,3.3031914893617,1.36436170212766
Charlie Morton,41,142,9,11,5.83098591549296,4.95908005198924,9.44366197183099,4.56338028169014,1.45774647887324
Mitchell Parker,25,164.666666666667,9,16,5.68421052631579,4.98736311066518,5.62955465587045,3.17004048582996,1.3663967611336
Chris Paddack,29,158,5,12,5.35443037974684,5.02754145330855,6.37974683544304,2.10759493670886,1.76582278481013
Miles Mikolas,36,156.333333333333,8,11,4.83582089552239,5.0349231704012,5.75692963752665,2.13006396588486,1.66950959488273
Taijuan Walker,32,123.666666666667,5,8,4.07547169811321,5.06775094527347,6.25876010781671,3.05660377358491,1.52830188679245
Seth Lugo,35,145.333333333333,8,7,4.14908256880734,5.08926483038438,7.74082568807339,3.40596330275229,1.67201834862385
Jonathan Cannon,24,103.666666666667,4,10,5.81672025723473,5.13192095593381,7.46623794212219,3.29903536977492,1.64951768488746
Cal Quantrill,30,117.666666666667,4,12,6.04249291784703,5.14080211239701,6.5014164305949,2.67705382436261,1.68271954674221
