yearID,rpg,hrpg,kpg,bbpg,avg
1901,4.98648648648649,0.204954954954955,3.14324324324324,2.46261261261261,0.271808034846187
1902,4.44245409762651,0.1589789520824,2.97805642633229,2.44379758172862,0.266813296152285
1903,4.40832595217006,0.148361381753764,3.52878653675819,2.39238263950399,0.261717260691795
1904,3.72006344171293,0.13441712926249,3.71808088818398,2.22918318794607,0.246756844653762
1905,3.89078633836378,0.135424940428912,3.82922954725973,2.4813343923749,0.24815242772201
1906,3.60874524714829,0.104942965779468,3.62927756653992,2.48136882129278,0.247484075679004
1907,3.51083957430035,0.0989357508868743,3.55538037051636,2.44856129286559,0.245329466102831
1908,3.46997287872917,0.10577295621852,3.63928709802402,2.37311119721038,0.240544629349471
1909,3.59375,0.107638888888889,3.80979938271605,2.61381172839506,0.244248752563024
1910,3.81273268801191,0.146314221891288,3.8265078183172,2.88235294117647,0.249784998721614
1911,4.39166971136281,0.202776762879065,3.90354402630617,3.03617099013518,0.26658542418824
1912,4.46561443066516,0.18075911311537,3.90078917700113,3.01465614430665,0.268876590272356
1913,3.9582100591716,0.181213017751479,3.67307692307692,2.82211538461538,0.259801934325592
1914,3.9133150137397,0.19260554584062,3.94429178116413,2.94354234324257,0.255193633461343
1915,3.86506144971156,0.17607223476298,3.81790820165538,2.97667419112114,0.25056069796299
1916,3.6278904304518,0.152258982568481,3.81714692280327,2.83778014941302,0.248540422865059
1917,3.61920289855072,0.128985507246377,3.49347826086957,2.78840579710145,0.248711511974053
1918,3.71618037135279,0.117152961980548,2.94650751547303,2.83510167992927,0.255241174885476
1919,3.90235008103728,0.206645056726094,2.77512155591572,2.69570502431118,0.262199992626547
1920,4.20891185017759,0.22925411688731,2.36099451081692,2.70616725863739,0.271966732860148
1921,4.89093175444064,0.363664693050795,2.23621065752571,2.77656590838267,0.286227686919085
1922,4.94294670846395,0.421316614420063,2.24075235109718,2.89404388714734,0.285603836277118
1923,5.07502259716782,0.410364567640856,2.13257005122025,3.03615546851461,0.282858868184955
1924,4.89965497412306,0.360552041403105,1.99971247843588,2.94077055779183,0.283652994236822
1925,5.13133576029124,0.48585830299636,1.87090450854103,3.06272752730328,0.287995097673879
1926,4.7573402417962,0.382843983880253,2.12204951065055,3.10449050086356,0.279586029807242
